NUTS;GIVEN_NAME;NUMBER;RANKING;SEX;YEAR
DE144000;Maria;49;1;female;1998
DE144000;Marie;36;2;female;1998
DE144000;Katharina;35;3;female;1998
DE144000;Laura;34;4;female;1998
DE144000;Julia;32;5;female;1998
DE144000;Anna;27;6;female;1998
DE144000;Lea;26;7;female;1998
DE144000;Franziska;24;8;female;1998
DE144000;Annika;22;9;female;1998
DE144000;Sarah;21;10;female;1998
DE144000;Vanessa;21;10;female;1998
DE144000;Lisa;20;12;female;1998
DE144000;Lena;19;13;female;1998
DE144000;Sophia;19;13;female;1998
DE144000;Sophie;19;13;female;1998
DE144000;Nadine;18;16;female;1998
DE144000;Jana;17;17;female;1998
DE144000;Jasmin;17;17;female;1998
DE144000;Leonie;16;19;female;1998
DE144000;Selina;16;19;female;1998
DE144000;Alina;14;21;female;1998
DE144000;Johanna;13;22;female;1998
DE144000;Melanie;13;22;female;1998
DE144000;Sabrina;13;22;female;1998
DE144000;Sandra;13;22;female;1998
DE144000;Celine;12;26;female;1998
DE144000;Charlotte;12;26;female;1998
DE144000;Christina;13;28;female;1998
DE144000;Carolin;11;29;female;1998
DE144000;Elena;11;29;female;1998
DE144000;Elisabeth;11;29;female;1998
DE144000;Jessica;10;32;female;1998
DE144000;Melissa;10;32;female;1998
DE144000;Anja;9;34;female;1998
DE144000;Antonia;9;34;female;1998
DE144000;Denise;9;34;female;1998
DE144000;Jennifer;9;34;female;1998
DE144000;Luisa;9;34;female;1998
DE144000;Patricia;9;34;female;1998
DE144000;Pia;9;34;female;1998
DE144000;Saskia;9;34;female;1998
DE144000;Verena;9;34;female;1998
DE144000;Amelie;8;43;female;1998
DE144000;Carina;8;43;female;1998
DE144000;Kim;8;43;female;1998
DE144000;Lara;8;43;female;1998
DE144000;Larissa;8;43;female;1998
DE144000;Natalie;8;43;female;1998
DE144000;Nathalie;8;43;female;1998
DE144000;Nicole;8;43;female;1998
DE144000;Stefanie;8;43;female;1998
DE144000;Caroline;7;52;female;1998
DE144000;Diana;7;52;female;1998
DE144000;Eva;7;52;female;1998
DE144000;Hannah;7;52;female;1998
DE144000;Isabell;7;52;female;1998
DE144000;Katrin;7;52;female;1998
DE144000;Lisa-Marie;7;52;female;1998
DE144000;Michelle;7;52;female;1998
DE144000;Miriam;7;52;female;1998
DE144000;Nina;7;52;female;1998
DE144000;Teresa;7;52;female;1998
DE144000;Alexandra;6;63;female;1998
DE144000;Aleyna;6;63;female;1998
DE144000;Alisa;6;63;female;1998
DE144000;Anna-Maria;6;63;female;1998
DE144000;Annette;6;63;female;1998
DE144000;Barbara;6;63;female;1998
DE144000;Bianca;6;63;female;1998
DE144000;Clara;6;63;female;1998
DE144000;Isabel;6;63;female;1998
DE144000;Janina;6;63;female;1998
DE144000;Jenny;6;63;female;1998
DE144000;Lucia;6;63;female;1998
DE144000;Marina;6;63;female;1998
DE144000;Marlene;6;63;female;1998
DE144000;Pauline;6;63;female;1998
DE144000;Rebecca;6;63;female;1998
DE144000;Sina;6;63;female;1998
DE144000;Svenja;6;63;female;1998
DE144000;Andrea;5;81;female;1998
DE144000;Angelina;5;81;female;1998
DE144000;Daniela;5;81;female;1998
DE144000;Esra;5;81;female;1998
DE144000;Hanna;5;81;female;1998
DE144000;Isabella;5;81;female;1998
DE144000;Isabelle;5;81;female;1998
DE144000;Linda;5;81;female;1998
DE144000;Magdalena;5;81;female;1998
DE144000;Paulina;5;81;female;1998
DE144000;Simone;5;81;female;1998
DE144000;Sofia;5;81;female;1998
DE144000;Theresa;5;81;female;1998
DE144000;Vivien;5;81;female;1998
DE144000;Angelika;4;95;female;1998
DE144000;Annalena;4;95;female;1998
DE144000;Carla;4;95;female;1998
DE144000;Celina;4;95;female;1998
DE144000;Chiara;4;95;female;1998
DE144000;Christine;4;95;female;1998
DE144000;Felicitas;4;95;female;1998
DE144000;Helen;4;95;female;1998
DE144000;Judith;4;95;female;1998
DE144000;Juliane;4;95;female;1998
DE144000;Katja;4;95;female;1998
DE144000;Kristina;4;95;female;1998
DE144000;Luise;4;95;female;1998
DE144000;Madeleine;4;95;female;1998
DE144000;Maike;4;95;female;1998
DE144000;Manuela;4;95;female;1998
DE144000;Michaela;4;95;female;1998
DE144000;Sara;4;95;female;1998
DE144000;Sibel;4;95;female;1998
DE144000;Sigrid;4;95;female;1998
DE144000;Tabea;4;95;female;1998
DE144000;Tamara;4;95;female;1998
DE144000;Yvonne;4;95;female;1998
DE144000;Aileen;3;118;female;1998
DE144000;Alicia;3;118;female;1998
DE144000;Alisha;3;118;female;1998
DE144000;Amanda;3;118;female;1998
DE144000;Cara;3;118;female;1998
DE144000;Carmen;3;118;female;1998
DE144000;Christin;3;118;female;1998
DE144000;Eileen;3;118;female;1998
DE144000;Elif;3;118;female;1998
DE144000;Ellen;3;118;female;1998
DE144000;Emanuela;3;118;female;1998
DE144000;Emily;3;118;female;1998
DE144000;Emine;3;118;female;1998
DE144000;Fabienne;3;118;female;1998
DE144000;Francesca;3;118;female;1998
DE144000;Heike;3;118;female;1998
DE144000;İrem;3;118;female;1998
DE144000;Irina;3;118;female;1998
DE144000;Jacqueline;3;118;female;1998
DE144000;Jaqueline;3;118;female;1998
DE144000;Josephine;3;118;female;1998
DE144000;Joy;3;118;female;1998
DE144000;Jule;3;118;female;1998
DE144000;Kristin;3;118;female;1998
DE144000;Lina;3;118;female;1998
DE144000;Mara;3;118;female;1998
DE144000;Maren;3;118;female;1998
DE144000;Melina;3;118;female;1998
DE144000;Milena;3;118;female;1998
DE144000;Mona;3;118;female;1998
DE144000;Monika;3;118;female;1998
DE144000;Naemi;3;118;female;1998
DE144000;Patrizia;3;118;female;1998
DE144000;Paula;3;118;female;1998
DE144000;Raphaela;3;118;female;1998
DE144000;Rebekka;3;118;female;1998
DE144000;Selin;3;118;female;1998
DE144000;Sinem;3;118;female;1998
DE144000;Sonja;3;118;female;1998
DE144000;Stella;3;118;female;1998
DE144000;Stephanie;3;118;female;1998
DE144000;Susanna;3;118;female;1998
DE144000;Tanja;3;118;female;1998
DE144000;Tatjana;3;118;female;1998
DE144000;Ursula;3;118;female;1998
DE144000;Valerie;3;118;female;1998
DE144000;Viktoria;3;118;female;1998
DE144000;Yasemin;3;118;female;1998
DE144000;Alice;2;166;female;1998
DE144000;Amra;2;166;female;1998
DE144000;Anika;2;166;female;1998
DE144000;Ann;2;166;female;1998
DE144000;Anna-Lea;2;166;female;1998
DE144000;Anna-Marie;2;166;female;1998
DE144000;Annabelle;2;166;female;1998
DE144000;Anne;2;166;female;1998
DE144000;Arjin;2;166;female;1998
DE144000;Aylin;2;166;female;1998
DE144000;Beate;2;166;female;1998
DE144000;Benita;2;166;female;1998
DE144000;Burcu;2;166;female;1998
DE144000;Burçin;2;166;female;1998
DE144000;Corinna;2;166;female;1998
DE144000;Cornelia;2;166;female;1998
DE144000;Cosima;2;166;female;1998
DE144000;Cristina;2;166;female;1998
DE144000;Deborah;2;166;female;1998
DE144000;Dilara;2;166;female;1998
DE144000;Dilâra;2;166;female;1998
DE144000;Dorothea;2;166;female;1998
DE144000;Dorothee;2;166;female;1998
DE144000;Edona;2;166;female;1998
DE144000;Elaine;2;166;female;1998
DE144000;Elina;2;166;female;1998
DE144000;Emmy;2;166;female;1998
DE144000;Etienne;2;166;female;1998
DE144000;Eylem;2;166;female;1998
DE144000;Frederike;2;166;female;1998
DE144000;Friederike;2;166;female;1998
DE144000;Gertrud;2;166;female;1998
